rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,4.228218730290731,12.688336384,1.5576941967010498,4.747860980375087
16,32,3686400,4.220409178733826,10.614555648,1.5113474130630493,4.53283428155522
64,128,14745600,4.241018017133077,13.471397376,1.476814866065979,4.378975820309134
